NO,1,0.38,0.393,0.213,0.329,60,60
Technique,Percentage,K-nn score,NN score,SVM Score,Average score,Total number of features,Number of selected features
univariate,0.1,0.373,0.22,0.197,0.263,60,6
univariate,0.2,0.383,0.32,0.21,0.304,60,12
univariate,0.3,0.42,0.33,0.21,0.32,60,18
univariate,0.4,0.383,0.347,0.233,0.321,60,24
univariate,0.5,0.347,0.337,0.23,0.305,60,30
univariate,0.6,0.367,0.377,0.21,0.318,60,36
univariate,0.7,0.387,0.327,0.177,0.297,60,42
univariate,0.8,0.353,0.37,0.207,0.31,60,48
univariate,0.9,0.423,0.383,0.183,0.33,60,54
univariate,1.0,0.413,0.433,0.257,0.368,60,60
tree_based,0.1,0.333,0.247,0.223,0.268,60,6
tree_based,0.2,0.39,0.33,0.263,0.328,60,12
tree_based,0.3,0.37,0.33,0.263,0.321,60,18
tree_based,0.4,0.433,0.387,0.253,0.358,60,24
tree_based,0.5,0.403,0.393,0.26,0.352,60,30
tree_based,0.6,0.407,0.373,0.197,0.326,60,36
tree_based,0.7,0.383,0.36,0.197,0.313,60,42
tree_based,0.8,0.417,0.387,0.167,0.324,60,48
tree_based,0.9,0.39,0.38,0.223,0.331,60,54
tree_based,1.0,0.4,0.393,0.213,0.335,60,60
l1,0.1,0.193,0.157,0.173,0.174,60,6
l1,0.2,0.38,0.293,0.233,0.302,60,12
l1,0.3,0.393,0.39,0.263,0.349,60,18
l1,0.4,0.39,0.36,0.257,0.336,60,24
l1,0.5,0.437,0.403,0.327,0.389,60,30
l1,0.6,0.383,0.357,0.227,0.322,60,36
l1,0.7,0.413,0.383,0.23,0.342,60,42
l1,0.8,0.39,0.437,0.2,0.342,60,48
l1,0.9,0.407,0.42,0.21,0.346,60,54
l1,1.0,0.37,0.403,0.173,0.315,60,60
